Latitud 	Longitud 	Profundidad en pies 	Condado 
40.08430	-86.09407	21	Hamilton
40.07119	-86.13308	24	Hamilton
40.0532	-86.1839	171	Boone
40.1151	-86.0302	220	Hamilton
40.03574	-85.56202	27	Hamilton
39.5919	-86.0159	23.9	Hamilton
40.0000	-86.0232	82	Hamilton
39.5923	-86.0239	34.6	Hamilton
39.585887	-86.025288	51	Hamilton
39.585429	-86.025455	52	Hamilton
39.59185	-86.03192	65.9	Hamilton
39.59190	-86.03212	81.7	Hamilton
39.595438	-86.040006	26	Hamilton
39.593652	-86.033154	107.20	Hamilton
39.5954	-86.0346	60	Hamilton
39.59171	-86.03410	17	Hamilton
39.59172	-86.03343	49.4	Hamilton
39.59173	-86.03290	28.3	Hamilton
39.5916	-86.0159	23.9	Hamilton
39.584347	-86.031739	27	Hamilton
39.583751	-86.045801	63.3	Hamilton
39.583065	-86.044818	62.5	Hamilton
39.581636	-86.044972	59	Hamilton
39.5818	-86.0421	73.90	Hamilton
39.581657	-86.040542	63.25	Hamilton
39.575970	-86.041229	33.6	Hamilton
39.574875	-86.042181	52.25	Hamilton
39.575040	-86.052171	48.38	Hamilton
39.571695	-86.051922	34.7	Hamilton
39.57087	-86.04008	21	Hamilton
39.56513	-86.04062	26.2	Hamilton
39.562705	-86.042287	96.5	Hamilton
39.562870	-86.052976	23.8	Hamilton
39.562920	-86.053050	45.2	Hamilton
39.2612	-86.2300	126	Morgan
39.34055	-86.32202	33	Morgan
39.3423	-86.1610	64	Morgan
39.31194	-86.15400	32	Morgan
39.2612	-86.2300	126	Morgan
39.2022	-85.3718	47.3	Decatur
39.1627	-85.5344	93	Bartholomew
39.1035	-85.5604	111	Bartholomew
39.0950	-85.5535	49	Bartholomew
38.5601	-85.3657	180	Jennings 
38.55423	-86.00563	60	Jackson
38.4950	-85.2517	200	Jefferson
38.21556	-85.38240	100.65	Clark
41.1038	-87.2847	82	Lake
41.0917	-87.2858	150	Newton
41.0810	-86.5808	130	Jasper
